metric_id,metric_name,unit,invert_score,description,source
1,Operational_energy,MWh/Year,True,Operational energy use cosumed by offices and data centres each year,
2,Renewable_energy_percent,%,False,Renewable energy % per year,
3,C02_emissions_yearly,tCO2e,True,Total greenhouse gas emmisions,
4,Sustainable_investment_ratio,%,False,Sustainable investment ratio,
5,Employee_sustainability,%,False,Employee sustainability training % workforce trained,
6,Shipping_emmisions,tCO2e/km,True,Shipping emissions from logistics and transport,
7,Waste_recycled,%,False,proportion of waste recycled,
8,Packaging_sustainability,%,False,proportion of sustainable packaging,
9,food_waste,Tonne/year,True,Food Waste per year,
10,Water_use,cubic m/year,True,water usage per year,
11,Local_source,%,False,locally sourced goods proportion,
12,recycled_materials,%,False,recycled material used  in packaging/production,
13,shipping_distance,km,True,shipping distance avg,
14,Energy_intensity,MWh/tonne,True,energy intensity,
15,waste_landfill,tonne.year,True,waste to landfill,
16,Process_efficiency,%,False,process efficiency,
17,Air_pollutant_emmisions,kg/year,True,air pollution emmisions,
18,Embodied_carbon_per_project,tCO2e/proj,True,embodied carbon per project,
19,Construction_waste_recycling,%,False,Construction waste recycled,
20,sustainable_material,%,False,Sustainable material share,
21,on_site_renewable_energy,%,False,on site renewable energy use,
